,Unnamed: 0.1,Unnamed: 0,Order Id,Order Status,Shipping Mode,shipping date,order date,Customer Id,discount percent,Order Total,Item Id,Product Price,Order Quantity,Profit Per Order
63,83,99,55829,PENDING,Standard Class,3/30/2017 23:02,3/25/2017 23:02,6428,0.100000001,225.0,139611,50.0,5,22.5
64,86,102,3137,PENDING,Standard Class,2/18/2015 18:40,2/15/2015 18:40,8524,0.129999995,217.5,7805,50.0,5,104.4000015
65,87,103,60127,PENDING,Standard Class,5/30/2017 16:48,5/27/2017 16:48,9204,0.129999995,217.5,150464,50.0,5,47.84999847
66,88,104,3828,PENDING,Standard Class,03/01/15 20:46,2/25/2015 20:46,11761,0.150000006,169.9600067,9521,39.99000168,5,44.18999863
67,89,105,60386,PENDING,Standard Class,06/02/17 11:33,5/31/2017 11:33,9554,0.150000006,212.5,151122,50.0,5,8.5
68,90,106,973,PENDING,Standard Class,1/19/2015 4:32,1/15/2015 4:32,5118,0.159999996,167.9600067,2420,39.99000168,5,83.98000336
69,91,107,57999,PENDING,Standard Class,05/01/17 15:16,4/26/2017 15:16,5506,0.170000002,207.5,145119,50.0,5,70.13999939
70,92,108,54585,PENDING,Standard Class,3/13/2017 19:12,03/07/17 19:12,1423,0.170000002,207.5,136527,50.0,5,72.62999725
71,93,111,60673,PENDING,Standard Class,06/08/17 16:06,06/04/17 16:06,2053,0.25,149.9600067,151869,39.99000168,5,68.98000336
72,95,114,10007,PENDING,Standard Class,5/30/2015 1:32,5/27/2015 1:32,3375,0.25,187.5,24992,50.0,5,91.87999725
73,96,115,55984,PENDING,Standard Class,04/02/17 05:20,3/28/2017 5:20,1339,0.01,237.5500031,139976,47.99000168,5,29.69000053
74,98,118,56448,PENDING,Standard Class,04/07/17 23:53,04/03/17 23:53,7247,0.170000002,124.4599991,141192,29.98999977,5,34.84999847
75,99,119,8221,PROCESSING,Standard Class,05/02/15 23:49,4/30/2015 23:49,1273,0.050000001,284.9500122,20537,59.99000168,5,74.08999634
76,100,120,58034,PROCESSING,Standard Class,05/02/17 03:32,4/27/2017 3:32,6277,0.0,499.9500122,145203,99.98999786,5,149.9900055
77,102,123,60146,PROCESSING,Standard Class,5/29/2017 23:28,5/27/2017 23:28,9528,0.039999999,479.9500122,150522,99.98999786,5,36.0
78,103,124,55409,PROCESSING,Standard Class,3/24/2017 19:53,3/19/2017 19:53,1853,0.039999999,479.9500122,138585,99.98999786,5,179.9799957
79,105,129,61192,PROCESSING,Standard Class,6/15/2017 5:55,06/12/17 05:55,10668,0.25,337.4599915,153077,89.98999786,5,59.06000137
80,106,130,55876,PROCESSING,Standard Class,3/28/2017 15:30,3/26/2017 15:30,5421,0.0,299.9500122,139714,59.99000168,5,140.9799957
81,107,131,53331,PROCESSING,Standard Class,2/19/2017 11:52,2/17/2017 11:52,10200,0.01,296.9500122,133251,59.99000168,5,81.66000366
82,108,132,51725,PROCESSING,Standard Class,1/31/2017 1:13,1/25/2017 1:13,11254,0.01,296.9500122,129241,59.99000168,5,18.40999985
83,109,133,52562,PROCESSING,Standard Class,02/09/17 06:27,02/06/17 06:27,11106,0.02,293.9500122,131382,59.99000168,5,33.22000122
84,110,134,59754,PROCESSING,Standard Class,5/27/2017 6:08,5/22/2017 6:08,8456,0.029999999,290.9500122,149532,59.99000168,5,25.30999947
85,117,143,46098,ON_HOLD,Second Class,11/07/16 21:49,11/03/16 21:49,3474,0.01,296.980011,115235,299.980011,1,0.0
86,119,146,69703,COMPLETE,Second Class,10/18/2017 11:42,10/14/2017 11:42,13256,0.01,447.519989,173018,452.0400085,1,120.8300018
87,120,147,71112,COMPLETE,Second Class,11/07/17 01:21,11/04/17 01:21,14665,0.01,250.3500061,174427,252.8800049,1,25.04000092
88,121,148,69810,COMPLETE,Second Class,10/22/2017 1:12,10/16/2017 1:12,13363,0.02,443.0,173125,452.0400085,1,212.6399994
89,122,149,71092,COMPLETE,Second Class,11/06/17 18:20,11/03/17 18:20,14645,0.029999999,245.2899933,174407,252.8800049,1,68.68000031
90,123,150,69610,COMPLETE,Second Class,10/19/2017 3:08,10/13/2017 3:08,13163,0.039999999,433.9599915,172925,452.0400085,1,135.8300018
91,124,151,71000,COMPLETE,Second Class,11/08/17 10:06,11/02/17 10:06,14553,0.050000001,240.2400055,174315,252.8800049,1,78.08000183
92,125,152,70734,COMPLETE,Second Class,11/03/17 12:55,10/29/2017 12:55,14287,0.059999999,1417.5,174049,1500.0,1,595.3499756
93,126,153,69626,COMPLETE,Second Class,10/15/2017 8:44,10/13/2017 8:44,13179,0.059999999,427.1799927,172941,452.0400085,1,21.36000061
94,127,154,69482,COMPLETE,Second Class,10/14/2017 6:17,10/11/17 06:17,13035,0.059999999,427.1799927,172797,452.0400085,1,213.5899963
95,128,155,70769,COMPLETE,Second Class,11/04/17 01:10,10/30/2017 1:10,14322,0.07,1395.0,174084,1500.0,1,55.79999924
96,129,156,69643,COMPLETE,Second Class,10/17/2017 14:41,10/13/2017 14:41,13196,0.07,420.3999939,172958,452.0400085,1,126.1200027
97,130,157,71051,COMPLETE,Second Class,11/05/17 03:58,11/03/17 03:58,14604,0.090000004,230.1199951,174366,252.8800049,1,6.900000095
98,131,159,71123,COMPLETE,Second Class,11/08/17 05:12,11/04/17 05:12,14676,0.090000004,230.1199951,174438,252.8800049,1,105.8600006
99,132,160,70534,COMPLETE,Second Class,10/31/2017 14:51,10/26/2017 14:51,14087,0.090000004,1365.0,173849,1500.0,1,86.0
100,133,161,69641,COMPLETE,Second Class,10/15/2017 13:59,10/13/2017 13:59,13194,0.100000001,406.8399963,172956,452.0400085,1,195.2799988
101,134,162,70960,COMPLETE,Second Class,11/07/17 20:05,11/01/17 20:05,14513,0.100000001,227.5899963,174275,252.8800049,1,22.76000023
102,135,163,69908,COMPLETE,Second Class,10/21/2017 11:32,10/17/2017 11:32,13461,0.150000006,384.230011,173223,452.0400085,1,180.5899963
103,136,164,70957,COMPLETE,Second Class,11/04/17 19:02,11/01/17 19:02,14510,0.150000006,214.9499969,174272,252.8800049,1,101.0299988
104,137,165,69637,COMPLETE,Second Class,10/16/2017 12:35,10/13/2017 12:35,13190,0.159999996,379.7099915,172952,452.0400085,1,118.8499985
105,138,166,70955,COMPLETE,Second Class,11/07/17 18:20,11/01/17 18:20,14508,0.170000002,209.8899994,174270,252.8800049,1,60.86999893
106,139,167,70919,COMPLETE,Second Class,11/06/17 05:44,11/01/17 05:44,14472,0.170000002,209.8899994,174234,252.8800049,1,73.45999908
107,140,168,71009,COMPLETE,Second Class,11/07/17 13:15,11/02/17 13:15,14562,0.170000002,209.8899994,174324,252.8800049,1,39.88000107
108,141,169,69653,COMPLETE,Second Class,10/17/2017 18:11,10/13/2017 18:11,13206,0.180000007,370.6700134,172968,452.0400085,1,177.9199982
109,142,170,69527,COMPLETE,Second Class,10/14/2017 22:03,10/11/17 22:03,13080,0.180000007,370.6700134,172842,452.0400085,1,129.7400055
110,143,171,71080,COMPLETE,Second Class,11/09/17 14:08,11/03/17 14:08,14633,0.180000007,207.3600006,174395,252.8800049,1,62.20999908
111,144,172,70544,COMPLETE,Second Class,10/31/2017 18:21,10/26/2017 18:21,14097,0.200000003,1200.0,173859,1500.0,1,90.0
112,145,173,69471,COMPLETE,Second Class,10/13/2017 2:26,10/11/17 02:26,13024,0.25,339.0299988,172786,452.0400085,1,118.6600037
113,147,175,67214,COMPLETE,Second Class,9/13/2017 3:42,09/08/17 03:42,7146,0.02,78.38999939,167987,79.98999786,1,8.619999886
114,149,177,18793,COMPLETE,Second Class,10/06/15 07:40,10/02/15 07:40,8422,0.039999999,43.18999863,46997,44.99000168,1,12.52999973
115,150,178,65109,COMPLETE,Second Class,8/13/2017 10:13,08/08/17 10:13,8524,0.039999999,95.98999786,162715,99.98999786,1,25.92000008
116,156,185,40495,SUSPECTED_FRAUD,Standard Class,8/20/2016 2:51,8/14/2016 2:51,2784,0.090000004,272.9700012,101052,99.98999786,3,79.16000366
117,160,190,37496,SUSPECTED_FRAUD,Standard Class,07/03/16 08:10,07/01/16 08:10,10029,0.01,118.7699966,93579,39.99000168,3,7.480000019
118,164,196,39271,SUSPECTED_FRAUD,Standard Class,7/29/2016 6:01,7/27/2016 6:01,3528,0.170000002,99.58000183,98043,39.99000168,3,8.760000229
119,165,197,38598,SUSPECTED_FRAUD,Standard Class,7/21/2016 10:14,7/17/2016 10:14,11018,0.01,74.22000122,96337,24.98999977,3,36.36999893
120,167,200,41345,CANCELED,Standard Class,09/01/16 12:38,8/26/2016 12:38,8741,0.150000006,203.9700012,103211,59.99000168,4,74.04000092
121,168,201,51168,CANCELED,Standard Class,1/20/2017 22:04,1/16/2017 22:04,8050,0.0,200.0,127882,50.0,4,90.0
122,169,203,43599,CANCELED,Standard Class,10/03/16 10:19,9/28/2016 10:19,5474,0.059999999,189.0,108885,50.0,4,85.05000305
123,171,206,45088,PENDING,Standard Class,10/24/2016 3:59,10/20/2016 3:59,10288,0.0,239.9600067,112591,59.99000168,4,64.79000092
124,172,207,50489,PENDING,Standard Class,01/12/17 00:11,01/07/17 00:11,4717,0.039999999,230.3600006,126156,59.99000168,4,83.62000275
125,175,210,50424,PENDING,Standard Class,01/11/17 01:25,01/06/17 01:25,12383,0.129999995,208.7700043,125992,59.99000168,4,70.55999756
126,176,211,49825,PENDING,Standard Class,01/03/17 07:33,12/28/2016 7:33,3518,0.0,200.0,124562,50.0,4,96.0
127,177,213,42023,PENDING,Standard Class,09/09/16 10:10,09/05/16 10:10,8519,0.029999999,155.1600037,104898,39.99000168,4,45.0
128,178,214,47774,PENDING,Standard Class,12/03/16 09:00,11/28/2016 9:00,5302,0.059999999,151.1600037,119464,39.99000168,4,51.09000015
129,179,215,41827,PENDING,Standard Class,09/05/16 13:30,09/02/16 13:30,3594,0.07,111.5999985,104416,30.0,4,31.25
130,180,218,46199,PENDING,Standard Class,11/10/16 09:13,11/05/16 09:13,7521,0.25,150.0,115493,50.0,4,13.19999981
131,181,219,48468,PENDING,Standard Class,12/12/16 12:08,12/08/16 12:08,2106,0.059999999,94.45999908,121217,24.98999977,4,46.29000092
132,182,220,51009,PROCESSING,Standard Class,1/19/2017 14:22,1/14/2017 14:22,8144,0.01,395.9599915,127490,99.98999786,4,182.1399994
133,183,222,42882,PROCESSING,Standard Class,9/20/2016 23:07,9/17/2016 23:07,2041,0.050000001,379.9599915,107084,99.98999786,4,178.5800018
134,184,223,46827,PROCESSING,Standard Class,11/17/2016 13:14,11/14/2016 13:14,7537,0.090000004,363.9599915,117074,99.98999786,4,167.4199982
135,185,225,48684,PROCESSING,Standard Class,12/16/2016 15:49,12/11/16 15:49,3056,0.119999997,351.9599915,121735,99.98999786,4,165.4199982
136,187,228,41686,COMPLETE,Standard Class,09/02/16 12:06,8/31/2016 12:06,7884,0.039999999,124.7900009,104060,129.9900055,1,40.56000137
137,191,232,30851,COMPLETE,Standard Class,3/28/2016 8:07,3/26/2016 8:07,1182,0.050000001,123.4899979,77102,129.9900055,1,32.47999954
138,192,233,25074,COMPLETE,Standard Class,01/07/16 00:11,01/02/16 00:11,717,0.050000001,123.4899979,62834,129.9900055,1,35.81000137
139,193,234,76870,COMPLETE,Standard Class,02/02/18 02:38,1/27/2018 2:38,20423,0.050000001,205.0299988,180185,215.8200073,1,102.5100021
140,201,243,74796,COMPLETE,Standard Class,12/29/2017 20:01,12/27/2017 20:01,18349,0.059999999,436.1000061,178111,461.480011,1,43.61000061
141,203,245,30097,COMPLETE,Standard Class,3/18/2016 7:58,3/15/2016 7:58,489,0.059999999,56.68999863,75233,59.99000168,1,19.84000015
142,206,249,24230,COMPLETE,Standard Class,12/26/2015 16:29,12/20/2015 16:29,1718,0.059999999,122.8399963,60624,129.9900055,1,41.52000046
143,211,255,23767,COMPLETE,Standard Class,12/16/2015 22:17,12/13/2015 22:17,10966,0.07,120.8899994,59474,129.9900055,1,15.10999966
144,212,257,73893,COMPLETE,Standard Class,12/18/2017 15:39,12/14/2017 15:39,17446,0.07,200.7100067,177208,215.8200073,1,72.86000061
145,216,261,76976,COMPLETE,Standard Class,1/30/2018 15:46,1/28/2018 15:46,20529,0.07,200.7100067,180291,215.8200073,1,62.8199997
146,218,265,74723,COMPLETE,Standard Class,12/30/2017 18:26,12/26/2017 18:26,18276,0.07,429.1799927,178038,461.480011,1,37.77000046
147,219,267,77102,COMPLETE,Standard Class,02/02/18 11:54,1/30/2018 11:54,20655,0.07,200.7100067,180417,215.8200073,1,76.26999664
148,222,270,49916,COMPLETE,Standard Class,12/31/2016 15:26,12/29/2016 15:26,10671,0.090000004,118.2900009,124787,129.9900055,1,24.84000015
149,224,272,72533,COMPLETE,Standard Class,11/28/2017 19:11,11/24/2017 19:11,16086,0.090000004,191.8699951,175848,210.8500061,1,94.01999664
150,225,273,48608,COMPLETE,Standard Class,12/14/2016 13:11,12/10/16 13:11,4398,0.100000001,225.0,121561,50.0,5,22.5
151,226,274,45506,COMPLETE,Standard Class,10/28/2016 6:25,10/26/2016 6:25,5687,0.119999997,220.0,113719,50.0,5,15.39999962
152,227,275,45027,COMPLETE,Standard Class,10/22/2016 6:36,10/19/2016 6:36,8534,0.129999995,173.9600067,112427,39.99000168,5,52.18999863
153,228,276,46308,COMPLETE,Standard Class,11/10/16 23:24,11/06/16 23:24,3372,0.150000006,169.9600067,115752,39.99000168,5,84.98000336
154,229,277,43685,COMPLETE,Standard Class,10/05/16 16:27,9/29/2016 16:27,10927,0.159999996,210.0,109111,50.0,5,65.73000336
155,230,278,41893,COMPLETE,Standard Class,09/07/16 12:38,09/03/16 12:38,3597,0.170000002,207.5,104569,50.0,5,70.13999939
156,231,279,46339,COMPLETE,Standard Class,11/12/16 10:15,11/07/16 10:15,2052,0.170000002,207.5,115856,50.0,5,56.02999878
157,232,280,46667,COMPLETE,Standard Class,11/15/2016 5:10,11/12/16 05:10,4399,0.170000002,207.5,116672,50.0,5,12.86999989
158,233,281,47647,COMPLETE,Standard Class,11/29/2016 12:30,11/26/2016 12:30,185,0.180000007,205.0,119125,50.0,5,64.16999817
159,234,282,48565,COMPLETE,Standard Class,12/15/2016 22:07,12/09/16 22:07,3441,0.180000007,205.0,121445,50.0,5,100.4499969
160,235,283,43889,COMPLETE,Standard Class,10/07/16 15:55,10/02/16 15:55,11947,0.180000007,205.0,109614,50.0,5,71.75
161,236,284,45138,COMPLETE,Standard Class,10/24/2016 21:30,10/20/2016 21:30,1555,0.200000003,200.0,112738,50.0,5,72.59999847
162,237,285,44160,COMPLETE,Standard Class,10/12/16 14:51,10/06/16 14:51,9399,0.25,149.9600067,110278,39.99000168,5,67.48000336
163,238,286,49214,COMPLETE,Standard Class,12/24/2016 9:30,12/19/2016 9:30,2792,0.25,187.5,123053,50.0,5,21.19000053
164,239,287,41825,COMPLETE,Standard Class,09/08/16 12:48,09/02/16 12:48,10118,0.0,124.9499969,104410,24.98999977,5,59.97999954
165,241,289,44496,COMPLETE,Standard Class,10/13/2016 12:34,10/11/16 12:34,4296,0.059999999,118.0800018,111088,24.98999977,5,39.90999985
166,242,290,45559,COMPLETE,Standard Class,11/01/16 00:59,10/27/2016 0:59,4391,0.07,74.34999847,113854,15.98999977,5,23.27000046
167,243,291,44074,COMPLETE,Standard Class,10/10/16 08:44,10/05/16 08:44,2882,0.159999996,67.16000366,110090,15.98999977,5,30.88999939
168,245,293,41786,COMPLETE,Standard Class,09/03/16 23:08,09/01/16 23:08,397,0.200000003,119.9599991,104311,29.98999977,5,53.97999954
169,246,294,48042,ON_HOLD,Standard Class,12/05/16 06:54,12/02/16 06:54,4104,0.170000002,186.7100067,120131,44.99000168,5,82.15000153
170,247,295,44301,ON_HOLD,Standard Class,10/10/16 16:15,10/08/16 16:15,12214,0.050000001,474.9500122,110620,99.98999786,5,66.48999786
171,248,296,41591,ON_HOLD,Standard Class,09/01/16 02:49,8/30/2016 2:49,10699,0.0,299.9500122,103815,59.99000168,5,80.98999786
172,249,297,44981,ON_HOLD,Standard Class,10/20/2016 14:29,10/18/2016 14:29,2091,0.170000002,165.9600067,112334,39.99000168,5,54.77000046
173,250,299,49910,ON_HOLD,Standard Class,01/04/17 13:20,12/29/2016 13:20,7504,0.180000007,196.7599945,124779,47.99000168,5,51.15999985
174,251,300,19590,COMPLETE,Standard Class,10/19/2015 22:53,10/13/2015 22:53,7518,0.050000001,284.9500122,48976,59.99000168,5,85.48999786
175,252,301,43650,COMPLETE,Standard Class,10/05/16 04:11,9/29/2016 4:11,1738,0.0,174.9499969,109018,34.99000168,5,59.13000107
176,254,303,15462,COMPLETE,Standard Class,8/17/2015 16:40,8/14/2015 16:40,1325,0.02,137.1499939,38639,27.98999977,5,65.83000183
177,255,304,15155,COMPLETE,Standard Class,8/16/2015 5:07,08/10/15 05:07,5505,0.02,489.9500122,37908,99.98999786,5,43.11999893
178,256,305,64451,COMPLETE,Standard Class,7/31/2017 19:42,7/29/2017 19:42,4210,0.029999999,484.9500122,161109,99.98999786,5,242.4799957
179,257,307,62336,COMPLETE,Standard Class,6/30/2017 22:43,6/28/2017 22:43,9385,0.029999999,484.9500122,155832,99.98999786,5,109.1100006
180,258,308,11334,COMPLETE,Standard Class,6/20/2015 10:27,6/15/2015 10:27,900,0.029999999,155.1499939,28340,31.98999977,5,52.43999863
181,259,309,62885,COMPLETE,Standard Class,07/12/17 23:03,07/06/17 23:03,6217,0.039999999,479.9500122,157243,99.98999786,5,9.600000381
182,260,310,66998,COMPLETE,Standard Class,09/09/17 00:02,09/05/17 00:02,9466,0.039999999,479.9500122,167475,99.98999786,5,230.3800049
183,262,312,63445,COMPLETE,Standard Class,7/21/2017 3:15,7/15/2017 3:15,5206,0.050000001,474.9500122,158605,99.98999786,5,47.5
184,263,313,67566,COMPLETE,Standard Class,9/15/2017 7:01,9/13/2017 7:01,2823,0.050000001,474.9500122,168920,99.98999786,5,218.4799957
185,264,315,18845,COMPLETE,Standard Class,10/09/15 01:53,10/03/15 01:53,11011,0.059999999,165.3300018,47141,34.99000168,5,82.66000366
186,265,316,66854,COMPLETE,Standard Class,09/07/17 21:35,09/02/17 21:35,40,0.07,464.9500122,167108,99.98999786,5,174.3600006
187,266,317,46955,COMPLETE,Standard Class,11/22/2016 10:04,11/16/2016 10:04,11636,0.090000004,454.9500122,117346,99.98999786,5,159.2299957
